,2R,2L,3R,3L,X,overall
SAMA,0.006672578582372447,0.006474646207680008,0.007116275764186594,0.0065144935958240035,0.005372669111445268,0.0065662359729814265
FOUN,0.005897218708866781,0.0062012497271691155,0.006233943391580861,0.005764068766249281,0.0029989104025355197,0.005709061742376442
DONE,0.006250100511025607,0.006523701436403925,0.0065057574378460945,0.005945576423045931,0.003161537774647545,0.0059853712283500175
BANA,0.006230434522662435,0.0068620124826832005,0.0064674598442050835,0.00595754263105578,0.003543491032304292,0.006086348365362141
NGAB,0.005015146068054734,0.005572660201444813,0.006122727731063244,0.005605023781297143,0.002855826887240122,0.005269092564203136
SENO,0.0060294645068331475,0.006156963611631234,0.006275219911341218,0.005762749373923319,0.0030067416597159098,0.005745008499193881
FARA,0.006441529792496501,0.006219768002083238,0.006751323190147948,0.006198333235885411,0.0041465119158636855,0.006178351235335369
KELA,0.005849769404917382,0.006096914305673441,0.006163338436758952,0.0056859405093184785,0.002891742403529049,0.005632175815467416
SEL,0.006352254977753261,0.006497229974509764,0.006547973991756078,0.006013385559246581,0.0031350138667012735,0.006026265711429991
FOUM,0.006295463240146474,0.006871710618196361,0.006831201868054744,0.00629226606950546,0.0031717327798434676,0.006211355913319387
TNZK,0.004678969270481216,0.005608962364076816,0.005170680524719596,0.004793113018284462,0.001873130862270643,0.0047154804122884145
NCHE,0.005349620190808883,0.006212490836647018,0.005778999312557459,0.005318660520646346,0.0022295131656594105,0.005297682127698698
BOU,0.0039214555092785324,0.00514324010415672,0.004179099723643087,0.003936911948866382,0.0010371354902217837,0.003940158847440633
BOE,0.003946983733245638,0.005003265865081704,0.004309714607557575,0.004026323578720727,0.0010454338706537393,0.00396430397559148
OSS,0.003980891486015393,0.005166261274248778,0.004270726337581703,0.00392800114992555,0.0010551088465532476,0.003982392786623667
MUT,0.003911692450133643,0.005190666682967772,0.004393593068795041,0.0039113841911287365,0.0010621924142684952,0.00399522750354261
SAL,0.0037382641209565315,0.0051714754679262846,0.004179910718392239,0.003750276452189655,0.001106475241191059,0.003870829848670178
MAL,0.004127592648441088,0.005142798764341077,0.004562846261581522,0.003998604668538928,0.0011982593840604528,0.0041119827252381076
MIR,0.003848253855824252,0.004755838911793772,0.004323551910131475,0.003914005616644876,0.0011555473179379453,0.0038793394527806956
WAN,0.0039411845555904846,0.004954726051494993,0.004467421633753492,0.003911898687646379,0.0011253299409389305,0.00397638523525264
ASS,0.003466611420179999,0.005067951755545148,0.003949587078481093,0.0035989719980448124,0.0008128224652423188,0.0036643140494429086
MOY,0.0035805501158593226,0.0047991739820622045,0.0038847444793277067,0.0036093268635326694,0.0008325456464841481,0.0036261753455601588
